Sigma,Average F1,Average Rand Index,Average Adj Rand Index,Average Jaccard Index,Average Number of Clusters,Average Cluster Size
2,0.6415625,0.5518601190476192,0.04318079452212254,0.23907447931027231,12.27,6.461025128294474
2.1,0.6440625,0.5523115079365077,0.0467393665173578,0.23203504707003805,12.38,6.25046088139586
2.2,0.6403125,0.5506994047619048,0.04453563107946143,0.22958398550705028,12.38,5.949512668274273
2.3,0.6365625,0.5489335317460319,0.04203916398694187,0.22178748138341778,12.13,6.1074185284959235
2.4,0.6359375,0.5623115079365079,0.04597049845534272,0.21942395986559654,11.97,5.973320964553158
2.5,0.6390625,0.563665674603175,0.044425362097503376,0.21954516936220347,11.99,6.011669412115228
2.6,0.6396875,0.5604265873015875,0.04200078338265235,0.22216999090983902,11.79,6.054338874747539
2.7,0.63640625,0.5554662698412698,0.04019152986797489,0.21477842807485564,11.81,6.309325638242043
2.8,0.636875,0.5537599206349206,0.03993832263663769,0.21926814234215378,11.51,6.3154819806955995
2.9,0.6378125,0.5624553571428571,0.04150886786731934,0.20960808535619194,11.98,5.914853798420357
3,0.6328125,0.5592857142857145,0.03840410772029113,0.21109535684598854,11.52,6.286001629605339
3.1,0.63375,0.5559275793650794,0.04173626711034231,0.20900897451839767,11.28,6.3379887288494015
3.2,0.6334375,0.5568551587301588,0.0376499305353089,0.20158562582809528,11.22,6.399817267012307
3.3,0.63171875,0.5703075396825397,0.043654464114304944,0.21143518776903886,11.08,6.468180875883658
3.4,0.62796875,0.558923611111111,0.037126467755751194,0.20902686733604395,10.69,6.6417139709275865
3.5,0.63375,0.5549801587301587,0.03812722647369298,0.1971747687130711,11.25,6.308847426395408
3.6,0.63125,0.5598660714285715,0.042969389494268526,0.20601276208717764,10.7,6.613569175922112
3.7,0.625625,0.5516815476190478,0.04067872639033632,0.20345952729189412,10.57,6.738174387016489
3.8,0.62875,0.5629166666666667,0.04513187488222216,0.20526406151574197,10.53,6.685573877103283
3.9,0.626875,0.5621478174603176,0.04551607907223734,0.20555539433062125,10.54,6.82680183799688
4,0.62890625,0.5673710317460318,0.04033275716320348,0.20860776055389502,10.39,6.925454557826072
4.1,0.62,0.5629017857142856,0.03988672781254572,0.2134455149139695,10.02,7.121077040606448
4.2,0.62640625,0.5623065476190474,0.04532121689167557,0.20920527592085544,10.19,7.070166445869229
4.3,0.62765625,0.5670833333333333,0.04368290660622164,0.19827811027861528,10.46,6.76698583700441
4.4,0.61828125,0.5629563492063494,0.036459435224529824,0.20285625080168745,9.75,7.322850678045718
4.5,0.61875,0.5635218253968255,0.04115820361689705,0.20187038952410835,9.86,7.222268659445126
4.6,0.61703125,0.5610813492063492,0.03902757568382387,0.20498842151121383,9.58,7.506126995811202
4.7,0.6165625,0.5593452380952384,0.03651525234376549,0.202803637348105,9.69,7.493929443105907
4.8,0.6215625,0.5679712301587303,0.040762483873739194,0.20304403276697158,9.79,7.1802410262595995
4.9,0.62015625,0.5622420634920637,0.041883024769533296,0.21021594573425376,9.47,7.56305617189827
5,0.62078125,0.5627480158730159,0.03881747668768347,0.2002352794266898,9.69,7.344733422751989
5.1,0.61859375,0.5626289682539681,0.03644006981455501,0.1980298229231634,9.67,7.321934626776723
5.2,0.6146875,0.5621527777777778,0.03630927129912605,0.20650015324107232,9.28,7.592398058082264
5.3,0.6165625,0.5633730158730159,0.03662534280365022,0.19966051807359608,9.49,7.5392361089203135
5.4,0.6184375,0.5641319444444445,0.038379318539402796,0.1967585561762258,9.65,7.377468360329035
5.5,0.6134375,0.5603571428571429,0.037348500355755904,0.2049054216479823,9.08,7.732298485140586
5.6,0.61546875,0.5629166666666668,0.03922384561891661,0.20369786392002168,9.23,7.918430731978715
5.7,0.61359375,0.5642460317460317,0.037147341508278406,0.20613630094289612,9.11,7.722225003067101
5.8,0.6171875,0.5686458333333335,0.03594730603865743,0.20627425498705057,9.01,7.828457698476268
5.9,0.61421875,0.5629513888888888,0.03542492160587274,0.2008829027752731,9.11,7.66357432041642
6,0.61328125,0.5625000000000001,0.03145117097110318,0.19902275426767452,8.92,7.9335437895437835
6.1,0.61453125,0.5648561507936508,0.03382182198142369,0.19988363281537821,9.01,7.847539911069317
6.2,0.61328125,0.5653621031746031,0.03579957615046826,0.20637091529972235,8.8,8.068621090639661
6.3,0.61375,0.5572321428571427,0.030791643879846186,0.20122678425836915,8.97,7.923874020716121
6.4,0.61078125,0.5545535714285713,0.02575484718150399,0.2056714395596285,8.6,8.234858147700244
6.5,0.61453125,0.5650099206349208,0.03385489228075207,0.20388415352184064,8.84,8.045267816462859
6.6,0.61578125,0.5646974206349209,0.031825223996259776,0.20178094866051716,9.01,7.888977062153528
6.7,0.61625,0.5699503968253972,0.03516543159696587,0.20574593502734229,8.94,7.930625191801662
6.8,0.615,0.563799603174603,0.03164528325934258,0.2016122961100828,8.74,7.97228105228105
6.9,0.61546875,0.5662748015873017,0.031097372013114463,0.20340465032965127,8.74,8.109811338987804
7,0.6165625,0.5640575396825396,0.03188956796176148,0.19808294434190443,8.89,8.107024792201255
7.1,0.61234375,0.5599156746031746,0.03146533012192276,0.20490801551898666,8.56,8.245561222403323
7.2,0.61234375,0.5594444444444444,0.028603941815068142,0.19618013221479547,8.82,8.029506754683222
7.3,0.611875,0.5580853174603171,0.027579298899486807,0.193552724213112,8.83,8.06053324453324
7.4,0.61328125,0.561349206349206,0.028657400806040737,0.2005488644582191,8.71,8.24584393384393
7.5,0.61515625,0.5664632936507937,0.028960397695300722,0.2079016770372367,8.5,8.28198073684141
7.6,0.61609375,0.5679811507936506,0.03383567192346926,0.20500475575769353,8.72,8.0903481355246
7.7,0.61078125,0.5629464285714287,0.03227243595198244,0.20632439855532272,8.4,8.552563253739718
7.8,0.61546875,0.565128968253968,0.03333897794410028,0.20183849583587832,8.66,8.16981711099358
7.9,0.613125,0.5604513888888889,0.028563287814400092,0.20148492975737026,8.22,8.43466222666222
8,0.6171875,0.5629960317460319,0.03325337632088786,0.19678967917260476,8.68,8.125128466304934
8.1,0.61453125,0.5624801587301587,0.03249796907463199,0.20064030249444098,8.53,8.300297036297032
8.2,0.61375,0.5634176587301587,0.036945771924017975,0.20411561117802968,8.56,8.34807911043205
8.3,0.61140625,0.5554563492063493,0.029997381592504826,0.19657503113375202,8.55,8.266679098679095
8.4,0.61375,0.5565426587301587,0.02738395646214207,0.19859666211035581,8.42,8.360393945236046
8.5,0.61109375,0.5577232142857141,0.02769859137608789,0.19705977932859317,8.28,8.516244017420483
8.6,0.60875,0.551061507936508,0.02990564562333301,0.20001555887501243,8.32,8.606368676387248
8.7,0.6128125,0.5595882936507937,0.03100947418852465,0.20383708704526485,8.18,8.667581307581301
8.8,0.61140625,0.5608085317460318,0.0295189806589552,0.20067758313057754,8.41,8.465198146882353
8.9,0.6109375,0.5603968253968256,0.03053800221335329,0.2005497617394151,8.42,8.470587451763919
9,0.61390625,0.5583531746031745,0.030367244596921215,0.19831341883751374,8.4,8.370962005314942
9.1,0.61359375,0.5581200396825395,0.032044109450702705,0.2017310708166089,8.49,8.4976678608629
9.2,0.61296875,0.5647123015873017,0.03064996824154076,0.20484686386230383,8.28,8.538918858918855
9.3,0.61390625,0.5563640873015874,0.026193852001770265,0.19697632485386196,8.57,8.53090125560713
9.4,0.613125,0.5580009920634921,0.030326982250463517,0.19611799863252868,8.56,8.365134289171438
9.5,0.6109375,0.5560119047619047,0.02920668354913346,0.20473883949797725,8.09,8.929280431299002
9.6,0.61609375,0.5607390873015875,0.03560759732840445,0.19755851689949921,8.66,8.364781884781879
9.7,0.614375,0.5582142857142859,0.028600768208664785,0.1970383704757921,8.65,8.424246759776166
9.8,0.61421875,0.5576587301587302,0.030538920913370373,0.1956931368844527,8.6,8.305751137751136
9.9,0.60875,0.5524950396825395,0.02795636138163347,0.20015582863554268,8.04,8.843782817801385
