Sigma,Average F1,Average Rand Index,Average Adj Rand Index,Average Jaccard Index,Average Number of Clusters,Average Cluster Size
0.1,0.6096875,0.46065972222222223,-0.024625074952236807,0.2942040898069813,10.86,8.952697011966357
0.2,0.5946875,0.4608234126984128,-0.011668400011880962,0.3037462584131224,8.25,12.35920152774642
0.3,0.6003125,0.4716815476190474,-0.008939510650085003,0.29377702353565954,8.23,13.217120066036468
0.4,0.611875,0.49291666666666695,0.015371973767979863,0.30465198233870844,9.04,12.287527215130922
0.5,0.60484375,0.472108134920635,0.021276289665206,0.3178342453044117,7.93,12.367923527452934
0.6,0.61328125,0.49671130952380943,0.03804518375078703,0.3208044152011017,8.48,11.582061661764442
0.7,0.62109375,0.49323412698412705,0.04051211965295813,0.31496088599535654,9.69,10.775757245850123
0.8,0.611875,0.4853025793650792,0.025421050832613673,0.3133985556080212,8.83,11.143459908512536
0.9,0.61296875,0.49846230158730154,0.028528875971486435,0.3229719327407367,8.54,11.670332919918058
1,0.61359375,0.48718749999999994,0.02469572095122551,0.3124101544437235,9.43,10.800390640663082
1.1,0.6165625,0.4887698412698414,0.03137548636019778,0.3205945601831938,8.9,11.065441288673483
1.2,0.62203125,0.4905009920634922,0.030090403836196565,0.31108182433739295,9.95,9.790874611456651
1.3,0.61953125,0.4978571428571426,0.03279262710398092,0.3178704125857196,9.2,10.45423307067889
1.4,0.623125,0.4875396825396827,0.02806367232675304,0.3069047942977482,9.68,9.804884235819216
1.5,0.62078125,0.49388888888888893,0.027158859845752094,0.29906460846950744,10.06,9.780552489134529
1.6,0.625625,0.5028174603174604,0.034568967067022595,0.29453285712576494,10.52,8.993231497776389
1.7,0.62578125,0.49313988095238104,0.0325928081059281,0.2858720155474327,10.6,9.01251078058508
1.8,0.6225,0.49327876984126967,0.031973040588242324,0.2855344653546911,10.23,9.127420264633884
1.9,0.6209375,0.4947867063492064,0.0282725040713578,0.28775002259202376,10.11,9.359913440532631
10,0.6121875,0.5365476190476189,0.024722062729878157,0.24391428952186597,8.1,10.923947161197932
10.1,0.6065625,0.5195734126984126,0.021035264841276234,0.24506419478812444,7.75,11.208820081191593
10.2,0.6034375,0.511889880952381,0.019704370404990793,0.25550110057166925,7.23,11.844862692862687
2,0.6240625,0.5105059523809524,0.030538459700979806,0.2854646147332861,10.31,9.10152786876006
2.1,0.62140625,0.5123313492063492,0.034542377142477695,0.2907056200299636,9.73,9.347535222259676
2.2,0.626875,0.5142708333333331,0.033342012913139533,0.2801830254360828,10.51,8.364446583344408
2.3,0.62109375,0.5061061507936507,0.03078236490888879,0.27092403897208983,10.2,8.834275720839184
2.4,0.62640625,0.5226537698412698,0.033708775297287864,0.27231011629803464,10.57,8.430001995252763
2.5,0.62421875,0.5114583333333333,0.028812543171863114,0.2753877260955486,10.05,9.138889356945079
2.6,0.6259375,0.5142757936507938,0.0304614195175214,0.2617668163282833,10.48,8.466374709569752
2.7,0.62265625,0.511984126984127,0.030926221169909902,0.2591842116008161,10.31,8.280428302347799
2.8,0.62015625,0.5160912698412699,0.031626327525876984,0.2559035377883058,9.95,8.56810846532208
2.9,0.6246875,0.5243849206349206,0.034522611388366,0.2587592287702646,10.3,8.346490999196876
3,0.61859375,0.5167857142857144,0.029538291045099675,0.2546127428863986,9.87,8.858764176312155
3.1,0.6153125,0.5107837301587302,0.02634138634980457,0.2570193658799606,9.54,9.08723270125127
3.2,0.61640625,0.5046230158730161,0.03133430692755758,0.2508502707143541,9.74,8.700490461035347
3.3,0.61734375,0.5166914682539683,0.029496948481628843,0.25500609854846007,9.57,8.86191869362147
3.4,0.6153125,0.5118253968253968,0.029459996652567034,0.2551254431375083,9.17,9.280462843657888
3.5,0.6196875,0.5101240079365079,0.030348905677684286,0.243828671665992,9.71,8.762731751908216
3.6,0.621875,0.5149255952380949,0.02595346897692587,0.2396942468813642,9.89,8.621010857048002
3.7,0.61859375,0.5125148809523808,0.03271993097690602,0.2512215201577506,9.38,9.04830609638039
3.8,0.61734375,0.5204017857142857,0.03371930985094987,0.24736198644591842,9.3,9.192972817344332
3.9,0.61546875,0.50859623015873,0.026039939768963904,0.24618505516157704,9.28,9.351140937493879
4,0.6171875,0.5195238095238094,0.03295155152171913,0.24781780050290217,9.51,9.078555912611632
4.1,0.6128125,0.5177083333333331,0.023523739585255513,0.23757849410742385,9.55,9.052317982670917
4.2,0.62046875,0.5248908730158729,0.033523230035907604,0.24059795402051676,9.47,9.028265890284464
4.3,0.6178125,0.516701388888889,0.027818733755144317,0.24058349024180786,9.41,9.245605817642964
4.4,0.6140625,0.5107291666666667,0.02775899395964451,0.24318135423228113,9.11,9.471398820649586
4.5,0.6159375,0.5234126984126983,0.038494878428382666,0.24256179743793915,9.14,9.333120408315452
4.6,0.61640625,0.5211507936507935,0.032351196312259,0.24872897784625603,9.09,9.48096331051129
4.7,0.61828125,0.5306299603174603,0.03468611735452999,0.2415867256854647,9.08,9.350782484801055
4.8,0.6146875,0.5206398809523808,0.03336025781694241,0.23946433546645676,8.96,9.419363027065804
4.9,0.60875,0.5145287698412697,0.029809114816009542,0.24735496653920439,8.67,10.05476587396092
5,0.61625,0.5278373015873015,0.028190514539675346,0.23416104643450233,9.26,9.340538729244605
5.1,0.6125,0.5219543650793651,0.03166776041514788,0.2398413883891247,8.7,9.723743979446756
5.2,0.61234375,0.5203819444444444,0.026326885694764185,0.23190826442532306,9.17,9.767214847759734
5.3,0.6103125,0.5113988095238097,0.02576877314731442,0.23856705671033768,8.85,10.085796999010618
5.4,0.616875,0.5235615079365082,0.025425489523269555,0.24032676637562642,9.11,9.70274864729353
5.5,0.613125,0.5211210317460317,0.03500056729195193,0.24557047724177183,8.62,9.961039455900128
5.6,0.6146875,0.5235515873015872,0.03307854518583016,0.23881731746047172,9.06,9.758681813542488
5.7,0.6109375,0.5142460317460317,0.02752283690145788,0.23814269770529106,8.55,10.225245472106149
5.8,0.61,0.5146130952380954,0.024742850429610587,0.23967434857764774,8.57,9.976821502542856
5.9,0.6125,0.5206795634920635,0.027806505506724255,0.24683624435915713,8.51,10.50345749468969
6,0.6065625,0.5150347222222222,0.02484688576652005,0.24847602072483566,8.19,10.5908061611591
6.1,0.60765625,0.516875,0.02570062432361337,0.24261392124447387,8.36,10.156785200351758
6.2,0.6121875,0.5153521825396827,0.028404389947975478,0.23507223761817236,8.97,9.883308177202904
6.3,0.6090625,0.5149603174603175,0.02190754891453472,0.23714634459416886,8.49,10.29033418868712
6.4,0.610625,0.5127083333333333,0.02457088975472312,0.23589935205303939,8.46,10.313385344617538
6.5,0.608125,0.5149652777777778,0.02677032028341895,0.24358312699610385,8.14,10.619103392651377
6.6,0.60890625,0.5221626984126985,0.027764806250553352,0.24101156183506128,8.22,10.343131430660833
6.7,0.6134375,0.5236160714285715,0.026935359440595653,0.23803853178383638,8.6,10.032358686377258
6.8,0.60953125,0.5249801587301587,0.025659430937402413,0.24410341058980453,8.18,10.497762876957918
6.9,0.61328125,0.5305208333333331,0.02720759752562264,0.23526860398039193,8.65,10.001298686177936
7,0.615,0.5245734126984124,0.029383962593125732,0.2412889584634547,8.47,10.10542096912375
7.1,0.61265625,0.5292509920634918,0.024659270209571323,0.24102798949835338,8.41,10.204797736834882
7.2,0.60515625,0.5199603174603173,0.02157168647014773,0.25189028635715943,7.58,11.068909102593306
7.3,0.61203125,0.5343253968253968,0.027755388251253628,0.24773543422996616,8.17,10.398585843465094
7.4,0.61078125,0.5242113095238093,0.025572569644922646,0.2376420948108274,8.29,10.527834999537777
7.5,0.61375,0.5217460317460317,0.02878810364962917,0.24643209002072036,8.13,10.71005495089705
7.6,0.6096875,0.524910714285714,0.02694122318123058,0.24142320021281108,8.08,10.294866256550456
7.7,0.60578125,0.518700396825397,0.026021473346603156,0.24528633798652544,8.02,10.719070430773211
7.8,0.60671875,0.5204761904761905,0.025172078758117396,0.24249920228276228,7.85,10.80675229277086
7.9,0.611875,0.5319593253968253,0.02473986996607575,0.24411343289329904,8.16,10.459344967382108
8,0.60890625,0.5229166666666667,0.024553533777433047,0.24878253091829053,7.79,11.197637785674933
8.1,0.61109375,0.5312202380952381,0.028501292167460425,0.2420065181806952,8.23,10.340465363326036
8.2,0.60765625,0.528422619047619,0.02334781021209479,0.24580160566442802,7.74,11.003353913372484
8.3,0.6078125,0.5287896825396825,0.0208489004312907,0.2488370662862524,7.78,11.12720402404612
8.4,0.6103125,0.5282738095238095,0.030130121539124234,0.24437463434413867,8.1,10.62671064607906
